username,tweet,hashtags
YoSoyDominique,"Disney taught me villains be having valid ass reasoning. Insane methods, but valid feelings for sure",
MaricoWinifred2,whale_alert No escrow.,
Alex_Choe,not me writing my dumb mha fic until 4am after not writing for half a year 🙃,
opacity000,at this rate i will never finish the one and only song I started this year,
MooreTate5,gona rebrand,
mrguitarmann,IG be like 'today is Scandinavian valentine's wahoo',
sueannshiah,"My struggle with reverse culture shock is epitomized by the fact that last night I wore a face mask just because it was familiar and comforting— while driving alone by myself in the car with no one around. 

I still catch myself putting on a mask every time I leave the house",
JihoTiun,"China wants to annex Taiwan and yet Chinese gov't often speaks of Taiwan being a province of China all along.

This is like saying 'I'm gonna marry you one day and you've always been my wife'.  

Chinese logic, they just don't add up.

#ChinaTaiwanCrisis  #NancyPelosi","['ChinaTaiwanCrisis', 'NancyPelosi']"
lordesmelo,I have to admit that Katy Perry was my first fave and i listen to her music,
t0913688698,We live our best life without annoying each other then. Lots of my friend are just like shit.,
EmpressHuang64,Good morning,
SuthiMajor,Blessed Beyond.,
KittyHarrod,Why to invest in GroveToken? ✅ A Dubai LLC ✅ Partnership With A Member Of Royal Family Dubai✅ $25m Seed Investment✅ D…,
its_immanuel_,"There's always that one song you keep skipping in your playlist, but you never delete it",
its_immanuel_,Pissed for like 5 mins non-stop damn my bladder must be really huge,
smileitsmeg,"Don’t take it personal when I leave you on read , I’m gaming 🤣😂",
Thiirty_Ball,It’s crazy hot 🥵,
RosieOneHalf,"Today's events have got me thinking and if you get down to it, Disco Elysium and Ai Somnium Files are sister games.",
TaiwanWarReport,"#BREAKING: JUST IN - China flew its drones (BZK-005 and TB-00) around Japan's Sakishima Islands and Taiwan, The Japanese Air Self Defense Force (JASDF) was forced to launch fighter jets in response",['BREAKING']
xeniachuu,"Wordle 412 6/6

⬛⬛🟨⬛⬛
⬛⬛⬛⬛⬛
⬛🟩⬛⬛🟩
⬛🟩⬛⬛🟩
🟩🟩⬛⬛🟩
🟩🟩🟩🟩🟩",
kacyjp9astacy,"In fact, one of his anagrams had gotten him in trouble once when Sophie was a little girl",
isjayjae,Need tackle VIPER today for the first time…good luck to me! #swift,['swift']
agustofwind1997,"#Android #Twitter When the preferred language of Twitter's Android client is Simplified Chinese, sometimes the button will change to English after the version is updated.","['Android', 'Twitter']"
ElaineS52166979,Top Trending collections in the last hour by OpenStreamNFT 1. boogerzwtf2. BigEyeRebellion3. apes_pixelated4. S…,
opacity000,why the FUCK can't I co-own a dog for 2 years at a time,
dkyu888,Let’s make a kick the current administration out of Taiwan party and take the KMT with you. It’s time that democracy follows the definition of majority holds the power. We need to stand together and start over. Find better representation.,
SMT_TAIWAN,i had a dream that in the english dub for sh2 ringo had a scottish accent,
sueannshiah,I used to participate in research studies about lgbtq Christians in my early 20’s. Now I participate in research studies about Taiwanese diaspora + political identity and activism 😂,
xuxingfu1,"KEEP WHOLE, LOVE SELL.
SOUL OUT?
WELL, WHATEVER YOU SAY.
I STILL AM ME.",
hao_B16,"The conflict is it a game between #China and #America,#Taiwan is that poor toy,and Taiwanese can only waiting for the players to move now.
#taiwanchinaconflict 
#TaiwanCivilianWantToSay","['China', 'America', 'Taiwan', 'taiwanchinaconflict', 'TaiwanCivilianWantToSay']"
xuxingfu1,WHOLE. DEAR.,
xuxingfu1,"panoramic.
SENSITIVE?WE JUST LOVE PERFECT AND HONEST.",
xuxingfu1,"WELL, WHAT YOU SEE WHAT I SEE
EXCHANGE?",
xuxingfu1,"GREEDY?
I AM A VUSINESS MAN.",
xuxingfu1,"REALLY WANT FRIENDS, BUT I AFRIAD OF MYSELF lol",
JillRicardo2,"I'm airdropping $15000 $ETH among the first 2000  RT’s.Must follow me, RT and ❤️",
JillRicardo2,#NewProfilePic ✌️😎✅ Co-gather our amazing #NFTCommmunity ElrondCombeys   🥰✅Fundamentally change #ecommerce with nftac…,"['NewProfilePic', 'NFTCommmunity', 'ecommerce']"
agustofwind1997,"#blocked An international friend on Twitter has been blocking me for almost a month. Interestingly, this friend hadn't been born yet when Twitter first came out. I don't know why this friend blocked my twitter.",['blocked']
h00kerthots,bout to go hang outside martha’s vineyard to find me a pretentious wine slut,
mrecamb,words like violence,
xuxingfu1,"IF YOU WANT A REAL LOLITA WHO WILL BELONG TO YOU, YOU SHOULD BE LIKE A PERFECT.",
xuxingfu1,"BABY SUIT IS LIKE
""LISTEN TO YOUR MOM""",
h0928293910,Finished the story mode of the Sunbreak😆🏹🦇,
xuxingfu1,"I JUST WANT MINE LITTLE JOY.
ALWAYS.",
xuxingfu1,"OH, WHEN THINGS ALWAYS GOING LIKE
""WHEN I HOPEFUL, WORLD WILL BEAT ME OUT""
YOU DONT REALLY LIKE HOPE
THATS MY LIFE",
xuxingfu1,"NO PEACE OR NO PISS.
AI~PEAS
SUMTIMES WE ALL NEED LITTLE JOY
AND MY TIME IS NOT YOUR TIME",
xuxingfu1,"AM I SEXY?
OH YOU OVERTHINKING ABOUT A FLOWER.
LILY IS HERSELF JOY.",
xuxingfu1,"""YOU KNOW THE RULE""
""AND YOU ALWAYS DOING WELL""
""SO DONT LET ME DOWN""
""OR I DONT EVEN KNOW YOU AGAIN""
""YOU ARE ANOTHER PERSON NOW""",
xuxingfu1,"SUMTIME EVERYBODY CALL ME ILL ,IE.
THATS REALLY UNPOLOTE.",
Howard87643516,"I will buy 2 more SBW UR this week, go sell yours to me",
xuxingfu1,"ah I AM SO FUNNY
WELL, IF YOU CALL THESE IS MY LITTLE JOY?
SUMTHING LIKE blasphemy?
PAY.",
xuxingfu1,"ble reading , bored and bald, like politics.
hair pls, this is your hat.",
xuxingfu1,"dark pattern,dark pattern
well, google so know",
Howard87643516,Buying your UR SBW for 550 gems instant buy,
iamnino175,Shoutout to Lun Lok! Thank you for the Light blue Super Chat message on @YouTube :),
ryan_landay,"For people who die of monkeypox, what is the average length of time between infection and death? Why has the IFR been so much lower in Western countries vs. in endemic countries? How high do we expect the IFR to be for kids?",
randyc815,God bless me!,
xuxingfu1,"REALLY WANT TO START NEW LIFE NEW GAME NEW DOOR... ...BUT, TELL ME WHAT WILL I HAVE FIRST?",
xuxingfu1,"TO BE HONEST, DEAR WHEN YOU SUFFER FOR ME BUT BLAME ON ME, YOU JUST LIKE A BABBY WANT MY HUG.",
ShanghaiBrute_,Trying to look like Baki at the end of the year so I can kill some commies with my bare hands. Don’t worry just the tankie kinds.,
tea_jelly2003,"Valorant is always down bad.
CONFIRMED👌",
micah_mccartney,Enjoyed chatting with @chrislindsay_ and @BBCNewsNI about the developing situation in the #Taiwan.,['Taiwan']
xuxingfu1,"""DONT HATE, JUST LOVE.""
""BECAUSE HATE MAKE YOU ANGRY AND UGLY, LOVE MAKE YOU A BEAUTY.""
""NOT JUST FOR JOY?""
""NOT JUST FOR YOR JOY DEAR""",
xuxingfu1,"ACTUALLY, ZERO SERIES IS ABOUT PSYCHOLOGY.
AND MARKUS IS TALKING ABOUT USING YOURSELF LIKE A WEAPON AND TREASURE YOUR SOUL, WE CAN SHAPE IT ALL KIND... ...MIND?FUNNY.",
xuxingfu1,"WHITE RING, WHITE ROPE, WHITE SNACKEET
WELL... ...BRO, YOU JUST WANT EVERYBODY CALL YOU BRO.",
xuxingfu1,"SO HAPPY YOU COULD KNOW, I AM MY OWN FISH AND CAT.",
xuxingfu1,"well, dude, I AM A BUSINESSMAN ,BUT I WILL NEVER WORK FOR YOU.
DEAR DONT BE SHAME, SAME AS OTHERS.",
xuxingfu1,"In chinese they dis your patient... ...sorry?patience?
cent?
oh like they will say who no patience got itself ""3min hot"".",
Sam_Corbett00,I’d be funnier if I was better at lying,
daveimok,"I die a little bit inside when Chinese say they see Hong Kong as getting better and better since ""the quelling of the riots.""

The fact a massive population cannot sympathize with the gasping breath and will of liberated souls is so deeply saddening.",
xuxingfu1,"MULTIBLE
SORRY, NOT TALKING ABOUT BAD POINT.
BUT, IF YOU DIDNT KNOW WE HAVE BUILT EVERYTHING YOU DREAMING... ...
BETTER GET ON A REAL BOAT DEAR",
Assitaca,"love is scary bro, it's embarrassing, its risky. Someone loves you regardless of all your flaws and everything and you feel that you are a disgusting piece of shit and still, somebody sais ""I love you though"".

How could you? I hate me. How could you love me",
xuxingfu1,"LOOP?
BUT GUY, EVERYINE IN THESE SHIT.",
xuxingfu1,"WELL, YOU EXIST, YOU WANT SPECIAL, YOU GET IT, ENJOY, AND GET FUN... ...WE JUST LOOK FOR ANOTHER DRAMA.",
xuxingfu1,"GET REDIGILOUS, FINALLY.
UI?
NOT TALKING ABOUT ANY GAME.
BUSINESS IS BUSINESS.",
howardlee1977,"friends in the US looking at my posts like,  shouldn't you be hiding and not outside on the streets? The vast difference of what is shown vs real life.",
h00kerthots,yall love being friends with a mentally ill bitch until she starts acting mentally ill,
YoSoyDominique,"I really wanna join an intramural team, I think it would be good for my hyper independence",
CerdoChinito,Food truck y arte!,
arisuryaabdii,Storm is coming,
erickdemoura,Such a great time to keep building.,
Nihaositgoing,"Taiwan welcomed Pelosi, China fired missiles over the island. China Is an aggressor and is no better than Russia.",
aquarbil,"Wordle 412 X/6

⬛🟩⬛⬛⬛
⬛⬛⬛⬛⬛
⬛🟩⬛⬛🟩
⬛🟩⬛⬛🟩
⬛🟩⬛⬛🟩
🟩🟩⬛⬛🟩",
MichaelForestG,Maybe I really am self-destructive.,
andy810625,"Wordle 411 5/6

⬜⬜⬜⬜⬜
⬜⬜🟨🟨⬜
⬜🟨⬜⬜🟩
🟩⬜⬜⬜🟩
🟩🟩🟩🟩🟩",
YimouLee,"Responding to mounting public concern on whether Chinese missiles directly passed over main #Taiwan island, defence ministry said late on Thursday: missiles fired by China ""fly high"" and ""constitute no threat""",['Taiwan']
mausekonig,Haven't been able to afford my meds recently so everything is making me want to cry,
papagaeio,"TAIWAN/CHINA UPDATE according to TW family gossip:
Switzerland backs Taiwan. 
Japan sends spy-ops of missiles that technically go so far over Taiwan they don't count as being near Taiwan.
Xi was a naughty boy when he was a kid and probably should've been slapped.
more to come.",
hsuehhao,He is a 7/10 and has a girlfriend but says good morning to me everyday and chats with me all day. What’s this.,
YimouLee,BREAKING -- #Taiwan says fired flares to drive away four drones above Kinmen islands late on Thur,['Taiwan']
brianhioe,On @CNNnews18 now,
adrianat5mel,He motioned to the opening,
icools,"""Design patterns are the solutions to the common problems in software design.""",
brianhioe,"I'm getting very confused with interviews now, lol, trying to remember which interview I scheduled at 11:30 PM tomorrow. Uh, is that anyone?",
lungyingwang,"shock-absorbing materials can apply to football shin pads, football shoulder pads, elbow pads, knee pads, etc.",
janetswiftie___,I always grab a book thinking I will read it on train and then end up tweeting all along💀,
ranee__xu,home area cans are cans knows need about you needs face need for you,
ranee__xu,zara care the most Korean people who are needs you to knows about something,
ranee__xu,"answers are the needs to knows about coach,ands fendi,from mango",
kimikahonma,"Wordle 412 6/6

⬜⬜⬜⬜⬜
⬜⬜⬜⬜⬜
⬜⬜🟨⬜⬜
🟩🟩⬜⬜🟩
🟩🟩⬜🟩🟩
🟩🟩🟩🟩🟩",
janetswiftie___,I just started using twitter a week and now I can’t live without it,
Assitaca,"she not mad at me, she mad at her imagination, I'm not mad at her, I'm mad at my imagination",
Achi_Rogercat,"When your friends are fighting
👟：🕺🕺🕺",
Justbriyourslf,My mom and I just had the funniest hectic morning ever 😭,
T_L_Guy,"This year marks the 27th year of my language learning efforts. I've learned (and am still learning) that we should not judge other people's learning style. Instead, celebrate the diversity of it. As long as it makes them happy and they can stick to it, why not?

#langtwt",['langtwt']
KirkyTrades,Bears failed to take it lower. I think we will see 4200 before actual pain here tbh.,
BanGaoRen,"If only there was a government which announced ""Regardless of their position on the visit of Pelosi to Taiwan, the PRC's wonton demonstration of its threat to the country, violating a 3rd country's EEZ in the process, leaves us no option but to redefine our One China Policy...""",
Tsai_ching19,I'm so tired,
KillerAlmonds,whenever I want to buy a shorty in val i remember that @SubrenaSaleem  is already my one and only shawty LMAOOOO,
KillerAlmonds,"did you know people used to carry big ass brick phones around? Imagine ""yea let me calll my mom"" and swinging that shit onto your lap lmao",
brianhioe,"Not to say that Taiwanese aren't completely unconcerned, but only 1 of 10 front page articles on the Liberty Times, the major pan-Green newspaper, are about China's live-fire drills right now",
mausekonig,I wish I sat in more people's hearts,
KirkyTrades,4145 prevailed once again!,
ravixsn,and one last happy happy happy birthday to heoni ❤️💛 hope you had a nice day.,
ravixsn,"guys, i feel like cheese that was left out of the refrigerator for too long. think that means it’s time to sleep lol good night! 💛",
chenjunmin,"How to KILL China and Taiwan stocks market at the same time?
China open a probe into iPhone. That’s all.",
taiwantfc,"Prior to US House Speaker Nancy Pelosi’s visit to #Taiwan, a video of warplanes flying in formation was spread online, claiming to show US Navy aircraft near 🇹🇼

But the context is FALSE. The clip is from US Pacific exercise Valiant Shield in 2020, according to US Seventh Fleet.",['Taiwan']
SKYEsaysstuff,"Netflix hates lesbians.
I hate Netflix.",
SKYEsaysstuff,I legitimately forget about so many of the songs I’ve written and composed sheesh. Anyway New original songs coming at 500 followers!!,
retina01,can't stop reading signs and overthinking,
chasewnelson,"The Taiwanese people I know are almost universally (albeit cautiously) elated about Pelosi’s visit.

It is especially meaningful after repeated exclusion from organizations like the @WHO.

Threats from China happen anyway, but clear solidarity is a rare breath of fresh air.",
KentscherooT,New Bio up - Described by Guy Walters (Historian &amp; Author) as “unretweetably funny”. He will probably be very disappointed from here on in.,
cj_sheu,"now that there's a department of homeland security, shouldn't the department of defense revert to its old name, the department of war?",
peggy2q,"What a surprise! 
Thank you stranger. 😊",
ChantingLee,"I swear I oshi certain types of people. You see the pipeline?

Sunshine
Zukki --&gt; Funa --&gt; Kishimon --&gt; LEO

The too pretty+badass so I'm admiring from afar
Aichan --&gt; Miyo

I'm not sure where Kawamuu+Yumechan fit

Anyway, this made more sense in my head.",
11RamilKenneth,"Ok! The Anxiety of Waiting is ON again!

Manifesting that Everything will be fine again 💫 🙏🏼",
ricswi,Well Win 11 has murdered my Lenovo E480 when I try to do moderate multitasking. FFS. Laaaag laaag clicks take seconds,
chenjunmin,Korean airlines and Singapore airlines have cancelled all their flights bound to Taipei from 4 august. Seems like it’s getting serious.,
ravixsn,no but that cake is sooo pretty,
ravixsn,well our head Lee verrer has spoken lol,
siano_julie,If you saw me today after i got rained on! You are welcome sweetheart 😌,
MichaelForestG,I fucked up everything,
meikuanxi,"just realized, my close circle irl has… 4 aries, 2 libra (1 of ‘em is me), 1 leo and 3 cancer. can you smell the strong anger issue there? 🙂",
YouBikeBot,"Top 5 YouBike 1.0 stations (number of docks):

MRT Taipei City Hall Stataion(Exit 3)-2: 88
Roosevelt &amp; Xinsheng S. Intersection: 88
NTU Information Bldg.: 72
MRT Linguang Sta.: 72
University of Taipei: 70",
YouBikeBot,"Top 5 YouBike 2.0 stations (number of docks):

MRT Gongguan Sta. (Exit 2): 99
MRT Taipei City Hall Sta. (Exit 3): 92
MRT Jiannan Rd. Station (Exit 2): 86
Xinyi Plaza (Taipei 101): 76
NTUST(Side Gate): 75",
KeithSt68805447,"#rootmeta the first Community&amp;amp;Content Web3 Socializing Platform, based on blockchain and encrypted storage tech, providin…",['rootmeta']
nicoledcase,"if you want to join the miss ebon committee, LMK LMK. on or off island, everyone is welcomed!!!!!!",
TaiwanRealChina,"One miscalculation, one mistake… that’s all it takes",
jackypan1989,"Fun fact:

The greatest startups usually were born in a bearish market.",
ArghZero,making a new locked account that only i follow so my bot can post choice morsels of my roam graph directly into my feed,
paulee_paul,blackrock and coinbase?  this should make the coin fly ... but instead it just looks like it is about to dump,
KentscherooT,"China has managed to hit the ocean with 5 missiles, well done lads, if you need a larger target aim for Xi Jinping’s ego.",
ooo0linnn,"MINECRAFT IS DEFINITELY A TIME MACHINE, when i realized, already over an hour passed 😑",
Pik_Sing,"My sense about China's possibility of invasion - somewhere close to zero. Why? Because there's no official warning from the U.S. gov. In the case of Russia invasion, the U.S. has been warning the imminence of war for about two months before Putin pulled the trigger.",
Osmond53900096,"Hi this is Osmond Fan, I wanted to make this an Ariana Grande fan account but I don’t have enough time for posting tweets and researching. On the other hand, I support individuals on Twitter who created something impressive. Please don’t be alarmed if I help by rt/promote.",
KirkyTrades,"Will only short below 4145, or maybe a retest at 4170.

$ES $SPY",
Osmond53900096,Oh hi… I’m tired…… I might not be online for another day but… I seriously don’t know.,
jm1khell,iphone cutie,
art_thinking_ec,"Reading w/ care depends on your breadth of experience and your ability to associate. Ofc the skill of the author matters, but reading work from different context is difficult bc we are unfamiliar w/ that context. The + u live, the + exciting and resonant reading becomes. #lit",['lit']
TaipeiAria,Thanks all🔅,
Rrrrrre_becca,Persona series will see🥹🥹🥹please 🥹🥹🥹🥹🥹🥹🥹🥹🥹,
royngerng,"If a foreign high-level government official visits your country, then a neighboring country decides to ban its import/exports to your country, hack your government websites &amp; businesses, arrest your fellow citizen in their country &amp; shoot missiles near your borders, is this OK?",
ShishiGen,"Finally recovered from chronic sinusitis.
I feel much better.
There’s a lot for me to explore after I complete my service",
smileitsmeg,I was an hr and a half late for work this morning smhhhhh🤣,
YoSoyDominique,crazy when we first met we was lost souls,
KarlaNareen,Good evening.🫶,
Howard87643516,Buy ur SBw for 550 gems,
FermSteve,"It’s gotten to the point where I want all the politicians, news pundits, and celebrities that the progressive left worship so uncritically to have to go on the record and say what they really think about gender clinics transing kids that would otherwise grow up to be gay.",
agustofwind1997,"#blocked Why do some users on Twitter block others? Maybe don't follow some people you don't know on Twitter, especially don't follow some people with locks (set to protect tweets), you can avoid being blocked.",['blocked']
xuxingfu1,"Mna who struggle in Traditional Chinese Medicine is 
sexual harassment ITSELF.
For medical reason, THEY WILL CARE ABOUT YOUR HEALTHY IN A DIRECT AND UNREPECT VIOLENT BEHAVIOR.",
brianhioe,Rem Koolhaas sure chose an odd time to visit Taiwan,
Kingpin794,Look it’s too early for this shit and no ones gonna get this but SAP is the fucking devil.,
MOFA_Taiwan,"#China fired missiles into the waters near #Taiwan earlier today. The provocation is threatening our security, escalating tensions in the region, &amp; interrupting international transportation &amp; trade. (1/2)","['China', 'Taiwan']"
M4CKpt,"$BABA, what an amazing company !!
Be ready 🚀🚀🚀🚀",
agustofwind1997,"#Twitter #Tweets Why are some people on Twitter deleting tweets? If a tweet on Twitter is retweeted, and that tweet is deleted, the retweeter will find that there is one less tweet, which I have also encountered.","['Twitter', 'Tweets']"
Vicsone0513,"Day4

Something in common with Tina

1. I am also the eldest sister and have a younger sister.

2. Sentimental, even if I don't seem to be.

That's all I can think of at the moment, but I think we have a lot in common.

 #TinaGoldsteinMonth2022",['TinaGoldsteinMonth2022']
onesmall_ia,"The map of Taiwan Province has been visible in the map application of Chinese Mainland, which is a better trend",
minorta,"Journalists:“Are you scare about the exercise of China?”
I: “We never look at the stress naivety.
But, we are suffering the military threat, political intervention, and economy sanction of China FOR DECADES. The threat from China   IS OUR DAILY LIFE.“",
brianhioe,"Anyway, I like how the tankies are calling me an imperialist hawk when much of my comments on @democracynow were about the needless loss of Chinese lives that would come from an invasion",
WilliamYang120,"Taiwan's defense ministry issued a short video, emphasizing that it will coordinate and cooperate with regional partners to ensure regional stability. It reiterated the importance of not escalating tensions, don't cause conflicts yet safeguarding freedom and democracy.",
huuumayy,"staying in pomokat's stream room
I still so glad this is the first community I join💕💕",
brianhioe,"Lol, are there seriously deep Greens trying to tell me on Twitter right now that the ROC military is capable of wiping out the PRC military and retaking China?",
lailai_zi,Just realized that there’s a laughter in the word slaughter,
d546po,JUSTICEALPHAMERS上,
shobetsien,you're still in my heart,
brianhioe,"Regarding the people who are making comparisons with Ukraine, as though Ukrainians were unconcerned before and invasion and Taiwan is the same, that's not a good comparison--we're not talking about a full-scale invasion scenario here by any means",
EdgarDolly3,"Starbucks will unveil its web3 initiative, which includes coffee-themed NFTs, at next month’s Investor Day event on Septembe…",
brianhioe,All this talk of crisis really indicates for me how extreme the perception gap between inside Taiwan and outside Taiwan is,
YimouLee,#Taiwan defence ministry: China launched 11 ballistic missiles into waters near Taiwan,['Taiwan']
YimouLee,#Taiwan foreign ministry says China 'imitated' N. Korea with missile drills near island,['Taiwan']
rufus_julie,"I'm 'bout to slide, okay, I'm outside, okay",
niccijsmith,"Missing my beat, and #Taiwan home just now 🇹🇼💪",['Taiwan']
RosieOneHalf,"I don't need sex, I need the sequel to my Turkish medieval warlord simulator of choice to leave early access.",
brianhioe,On CNN News 18 India sometime presumably in the next few minutes,
KaoJhui,"Taiwanese is cute and different from Ukrainian cause we are not unaware of war coming.
We face the risks of the war whole our life. And today someone still go the first line trying to watch the military practice.XD
#Taiwan #US #China","['Taiwan', 'US', 'China']"
bingwangtw,On @IndiaToday at 5:45,
khium0220,"Ah… 
I can’t use that platform",
KentscherooT,"4 hours of teaching Grade 1 kids how to bake Cookies. 
Wasn’t too bad, I’ve had a lot worse classes in my time.",
Howard87643516,does Walt worth 5k?,
WilliamYang120,"The PLA's Eastern Theater Command issued a statement earlier, saying that it fired several models of ballistic missiles this afternoon around 1 pm and all missiles have hit targets accurately and the exercise is complete. It claimed to have ended maritime and aerial control.",
TomasChevez4,I hope to finally find the time to finish John Wick 3. The whole world has moved on to waiting for 4 and here I am lagging behind haha,
MiriamH00665135,sean_s_mc WarMonitor3 name one major battle that Russia has lost since Phase 2 started,
Howard87643516,"Sell the dip and buy the hype of AF15, brilliant 🚀🚀",
Howard87643516,Wow the veve dip is another level😅😅,
ravixsn,i’m just watching this live in shock lmao,
taiwantfc,"An image of 🇨🇳 CCTV news with an overlay showing China is evacuating its citizen from #Taiwan, appeared today on Taiwanese bulletin board system PTT.

The image is ALTERED. CCTV didn't have a such report. The Chinese immigrants' support services in 🇹🇼 didn't receive notice either",['Taiwan']
brianhioe,"Anyway, the genre of Chinese-language news article from TW you want to be skeptical of the factuality of right now is the ones from pan-Green media that try to frame a news story as though this owns China somehow",
wenny_tsai,"For my friends who may concern if Taiwanese will be afraid of China invasion Taiwan:

We live normally and nothing happened, CCP has barked to us more than 70 years and we know they will keep barking.
All we Taiwanese people are living in such situation from childhood.",
giantbbylion,my mom uda let me go to sing to watch svt but i can’t even get the tickets HAHAHAHAHHAHAHAHAHAHAHA,
aelcenganda,"Q: Do you think you can change the world?
A:Yes, I do.
Q:🤯(was going to say since you can’t change the world, change your mindsets)",
jackypan1989,"Someone asked me how to make money from startups by services.

I would say it is really hard because they usually have rare money unless you solve their pain points. 

Some examples below",
WongZakMing,"things i found on instagram:
my own envy, hatred, libido and disappointment combined, projected onto other people lol",
BanGaoRen,"🧵As @flying_rodent pointed out, usually the places that beg for US intervention, or where it's clamoured for by the press back home, end up smouldering ruins in return &amp; left with a silhouette of the promises made to them dissolving in the smoke. Taiwan an exception to the rule.",
YouBikeBot,"It's getting better all the time 🥰 
Taipei now has 1,499 YouBike stations (2.0: 1,124, 1.0: 375) with an unbelievable number of 32,296 docks (2.0: 24,034, 1.0: 8,262). 
That's one dock per 84 Taipeiren! 🤩🤩🤩",
giantbbylion,wanna meet seungcheol and dk so ba but i CANTTTTTT,
